id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
413,Calcium Lignosulfonate,,,528.61,0.5 g/cm3,C20H24CaO10S2,,Lignosulfonic acid calcium saltCalcium LignosulfonateLigninesulfonate Calciumcalcium 3-(2-hydroxy-3-methoxyphenyl)-2-[2-methoxy-4-(3-sulfonatopropyl)phenoxy]propane-1-sulfonate,
414,Calcium Monofluorophosphate,,,,,,,,
415,Calcium Montanate,,,,,,,,
416,Calcium Myristate,,,,,,,,
417,Calcium Oxide,,REACTS,56.0774,,CaO,,"lime uspcalcium oxide, not obtained by calcining natural materials,CalciumoxidepurifiedpowderLimeCalciumoxideCamicronwhitepowderCalciumoxidewhitepowderCalcium oxide powderLIME OXIDEFLUXING LIMELIME,CAUSTIC,CAUSTICBURNTLIMECALXCALCIUM(II)OXIDEairlockbellcmlebellcmlburnedlimeburntlime[qr]Calciacalcia[qr]Calciumoxide (CaO)calciummonoxide[qr]calciumoxide(cao)calciumquicklimeCaloxol CP2oxocalciumcalcium oxygen(-2) anion",
418,Calcium Pantetheine Sulfonate,,,,,,,,
419,Calcium Pantothenate,,,1010.28,,C9H16NO52Ca,,Calcium PantothenateDl-Pantothenic Acid Calcium Salt,
420,Calcium Pantothenate,,,1010.28,,C9H16NO52Ca,,Calcium PantothenateDl-Pantothenic Acid Calcium Salt,
421,Calcium Pantothenate,,,1010.28,,C9H16NO52Ca,,Calcium PantothenateDl-Pantothenic Acid Calcium Salt,
422,Calcium Pantothenate,,,1010.28,,C9H16NO52Ca,,Calcium PantothenateDl-Pantothenic Acid Calcium Salt,
423,Calcium Paraben,,,,,,,,
424,Calcium Peroxide,,,72.0768,,CaO2,,Calcium Peroxidecalcium dioxidanediide,
425,Calcium Phosphate,,0.1 g/L (25???),310,,Ca3(PO4)2,,"Bone FlourBone phosphateCalcium orthophosphateCalcium PhosphateCalcium tertiary phosphateTertiary calcium phosphateTribasic calcium phosphate (Ca3(PO4)2)Tricalcium orthophosphateTricalcium PhosphateTricalcium diphosphateAPATITE TTCP, MONOCLINIC,bonarkacalcigenolsimplecalciumorthophosphate,tri-(tert),calciumphosphate(ca3(po4)2)calciumtertiaryphosphatenaturalwhitlockite(Tricalcium phosphate)Calcium phosphate, tribasic,tricalcium phosphate activatedextra-fine calcium phosphatesuperfine calcium phosphate",
426,Calcium Propionate,,1 g/10 mL,186.22,,C6H10CaO4,,"Propanoic acid, calcium salt,bioban-ccalciumpropanoatePropanoicacid,calciumsalt,propionatedecalciumPROPIONIC ACID HEMICALCIUM SALTPROPIONIC ACID CALCIUM SALTCalcium dipropionate",
427,Calcium Pyrophosphate,,,254.1,,Ca2P2O7,,Calcium diphosphateCalcium phosphate (Ca2P2O7)Calcium pyrophosphate (Ca2P2O7)Dicalcium diphosphateDicalcium pyrophosphateHSDB 1435UNII-X69NU20D19alpha-Calcium pyrophosphatecalcium dihydrogen diphosphate,
428,Calcium Saccharin,,,225.28,,C7H7CaNO3S,,"SACCHARIN CALCIUMSACCHARIN CALCIUM SALTSYNCAL (R) CASCALCIUM SACCHARINBis[(2,3-dihydro-1,2-benzisothiazole 1,1-dioxide)-2-yl]calcium salt,1,1-Dioxide-1,2-benzisothiazol-3(2H)-one, calcium salt,1,2-Benzisothiazolin-3-one, 1,1-dioxide, calcium salt,",
429,Calcium Salicylate,,,,,,,,
430,Calcium Sorbate,,,262.315,,C12H14CaO4,,"SORBIC ACID CALCIUM SALTcalcium di[(2E,4E)-hexa-2,4-dienoate],calcium hexa-2,4-dienoate,",
431,Calcium Stearate,,,607.02,,C36H70CaO4,,"calcium distearate, pure,Calcium Stearate (Light)CalciumstearatetechCalciumstearateminSTEARIC ACID CALCIUM SALTOCTADECANOIC ACID CALCIUM SALTCALCIUM OCTADECANOATEaquacalcalciumdistearatecalstardibasiccalciumstearatecalcium dioctadecanoate(octadecanoato-kappaO)calcium(1+)Calcium stearate dispersion liquid",
432,Calcium Stearoyl Lactylate,,,,,,,,
433,Calcium Sulfate,,"sets to hard mass when mixed with H2O [MER06]; g/100g solution H2O: 1.23 (0??C), 0.71 (25??C), 0.189 (100??C); solid phase, CaSO4 ?? 1/2H2O [KRU93]",154.16,2.69 g/cm3,CaH2O5S,,Calcium Sulfate Hemihydrate Calcined PowderDried gypsumdicalcium disulfate hydrate,
434,Calcium Tartarate,,,,,,,,
435,Calcium Thioglycolate,,,222.29,,2(C2H3O2S)??Ca,,calcium bis(mercaptoacetate)Calcium Mercaptoacetate,
436,Calcium Titanate,,,135.94,,CaTiO3,,calcium titanium trioxidecalciumoxygen(-2) aniontitanium(+4) cationdicalcium tetraoxidotitanium,
437,Calcium Undecylenate,,,406.61,,C22H38CaO4,,Calcium undecylenate,
438,Calcium Undecylenate,,,406.61,,C22H38CaO4,,Calcium undecylenate,
439,Calcium Xylenesulfonate,,,,,,,,
440,Camelia Oleifera Extract,,,,,,,,
441,Camphor,,0.12 g/100 mL (25???),152.23,0.992,C10H16O,,"Camphor syntheticplus-minus-camphorCamphor Natural,Tablet,Synthetic CamphorCamphor2-Bornanone",
442,Camphor Benzalkonium Methosulfate,,,409.53954,,C21H31NO5S,,,
443,Camphylcyclohexanol,,,,,,,,
444,Capramide Dea,,,,,,,,
445,Capric Acid,,Soluble in methanol. Not miscible or difficult to mix with water.,198.3,0.88g/cm3,C12H22O,,"Vinyl n-decanoateethenyl decanoateCapric Acid Vinyl Ester = Vinyl DecenoateVinyl decanoate, stabilized,Decanoic acid, ethenyl ester,DECANOIC ACID VINYL ESTERDecanoic acid vinylVinyl caprateN-CAPRIC ACID VINYL ESTERVINYL N-DECANOATE",
446,Caproic Acid,,1.1 g/100 mL (20???),116.18,,C6H12O2,,"N-caproic acid sigma gradeCaproic acidN-CAPRONIC ACIDNatural Hexanoic Acidhexanoaten-Caproic acidHexanoic Acid (n-Caproic Acid, C6),",
447,Caproyl Sphingosine,,,397.63488,,C24H47NO3,,CAPROYL SPHINGOSINECERAMIDE 1CERAMIDE 2CERAMIDE 3CERAMIDE 4CERAMIDE 5CERAMIDE 1 ACERAMIDE 6 II,
448,Capryl Hydroxyethyl Imidazoline,,,,,,,,
449,Capryleth-9 Carboxylic Acid,,,,,,,,
450,Caprylic Acid,,,158.24,0.878,C9H18O2,,Methyl n-octanoateMethyl OctanoateCaprylic Acid Methyl Ester,
451,Caprylic Alcohol,,insoluble,130.23,0.824,C8H18O,,"1-octyl alcoholAlcohol C-8Heptyl carbinoln-Caprylic Alcoholn-octanoln-Capryl Alcoholoctan-1-olCaprylic alcoholOctyl alcoholCapryl alcoholN-OCTYL ALCOHOLOCTANOL,1-,octanol",
452,Caprylic Capric Triglyceride,,,,,,,,
453,Caprylic Capric Lauric Triglyceride,,,,,,,,
454,Capryloyl Glycine,,,201.26,0.95g/cm3,C10H19NO3,,"Capryloyl glycineGlycine, N-(1-oxooctyl)-,N-(1-Oxooctyl)glycineCaprylylglycineN-(1-Oxooctyl)-glycineN-octanoylglycineN-octylglycine",
455,Capryloyl Salicylic Acid,,,264.32,1.144g/cm3,C15H20O4,,Capryloyl salicylic acid2-Hydroxy-5-(1-oxooctyl)benzoic acid2-hydroxy-5-octanoylbenzoic acid,
456,Caprylyl Glycol,,,,,,,,
457,Caprylyl Hydroxyethyl Imidazoline,,,,,,,,
458,Caprylyl Pyrrolidone,,,,,,,,
459,Capsanthin Capsorubin,,,,,,,,
460,Caramel,,,0,1.35 g/cm3,C7H10O2,,burntsugarburntsugarcoloring,
461,Carbocysteine,,SOLUBLE IN COLD WATER,179.19,1.451g/cm3,C5H9NO4S,,s-carboxymethyl-l-cysteine3-carboxymethylthio-l-alaninecarbocysteineS-(carboxymethyl)cysteine(2R)-2-ammonio-3-[(carboxylatomethyl)sulfanyl]propanoateN-(carboxymethyl)-L-cysteine(2R)-3-carboxysulfanyl-2-(methylamino)propanoic acidCarbocisteinMucodyne,
462,Carbomer,,,72.06,1.09 (30% aq.),(C3H4O2)n,,"poly(1-carboxyethylene)Poly(acrylic acid)Acrylic Acid glacialFluorosulfuric acid2-Propenoic acid, homopolymer,Acrylic polymer resinsPolyacrylic AcidPropenoic acid, homopolymer,Propenoic acid polymerPropenoic acid, polymers, homopolymer,CarbopolCarboxypoly-methylenePAACarbomer 910acrylicacid,poly,Polyacrylic Acid (PAA)",
463,Carbon Dioxide,,,44.01,1.854g/cm3,CO2,,"Carbonic Acid GasCarbonic AnhydrideCarbon dioxide,high purity,Carbon dioxide,edible,Carbon dioxide,liquid,aerfixusafter-dampAnhydride carboniqueanhydridecarboniqueanhydridecarbonique(french)Carbon oxide (CO2)carbondioxide(co2)methanedionecarbon monooxidecarbonic aciddicarbonic acid",
464,Carboxymethyl Chitosan,,,,,,,,
465,Carboxymethyl Chitosan,,,,,,,,
466,Carboxymethyl Isostearamidopropyl Morpholine,,,,,,,,
467,Carnitine,,,161.199,,C7H15NO3,,"DL-Carnitine3-hydroxy-4-(trimethylammonio)butanoate???NovainCARNITINCARNITINE CHLORIDE, DL-(RG),-Hydroxy-butyrotrimethylbetaineCarnitina",
468,Carnitine,,,161.199,,C7H15NO3,,"DL-Carnitine3-hydroxy-4-(trimethylammonio)butanoate???NovainCARNITINCARNITINE CHLORIDE, DL-(RG),-Hydroxy-butyrotrimethylbetaineCarnitina",
469,Carnitine,,,161.199,,C7H15NO3,,"DL-Carnitine3-hydroxy-4-(trimethylammonio)butanoate???NovainCARNITINCARNITINE CHLORIDE, DL-(RG),-Hydroxy-butyrotrimethylbetaineCarnitina",
470,Carpronium Chloride,,,213.702,,C8H20ClNO3,,"(3-Carboxypropyl)trimethylammonium Chloride Methyl Ester13254-33-6236-243-64-Methoxy-N,N,N-trimethyl-4-oxobutan-1-aminium chloride,g-Butyrobetaine Chloride Methyl EsterMethyl N-Trimethyl-g-aminobutyrate Chloride",
471,Carrageenan,,,0,,NULL,,"3,6-anhydro-d-galactan,aubygelgs",
472,Carvone,,,150.22,0.963 g/cm3 (15???),C10H14O,,"(-)-2-Methyl-5-isopropenyl-2-cyclohexen-1-one1-methyl-4-isopropenyl-delta(6)-cyclohexen-2-one2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-,2-methyl-5-(1-methylethenyl)-2-Cyclohexen-1-oneCARVONE",
473,Casein,,SLIGHTLY SOLUBLE,,,,,,
474,Cellulose,,,,,C24H36N8O38,,Cellulose nitrateFlexible CollodionguncottonNitrocelluloseNITROCELLULOSE (CELLULOSE NITRATE)NitrocottonParlodionParlodion stripsPyroxilenePyroxylinSynpor,
475,Cellulose Acetate,,,59.0437,,C2H4O2??x,,cellulose acetate sac 20cellulose acetate dac 20Cellulose MonoacetateCellulose Mono Acetate,
476,Cellulose Acetate Propionate,,,1811.68,1.23 g/mL at 25 ??C(lit.),C76H114O49,,"Cellulose,acetatepropanoate,CELLULOSEPROPIONATECELLULOSEACETATEPROPIONATECELLULOSEACETATEPROPIONATE,,42.5WT.PROPIONYLCONTENT,,AVE.MNCA.15,000,CELLULOSEACETATEPROPIONATE",
477,Cellulose Gum,,,240.206,,C8H16O8,,"carboxy-methyl cellulosecarboxymethyl cellulosecellulose carboxymethyl ethercmc-4lfcarbosecarboximethylcellulosumcarboxymethyl cellulose ethercarboxymethylated cellulose pulpcarboxymethylcellulosecarboxymethylcellulosumcarmellosecarmellosumcarmelosacellulose gum 7hcellulose carboxymethylatecellulose, (carboxymethyl),cellulose, ether with glycolic acid,celluloseglycolic acidcolloresinecroscarmellosecroscarmellosumcm-celluloseFEMA No. 2239DuodcelGlycocel TA",
478,Ceramide 1,,,397.63488,,C24H47NO3,,CAPROYL SPHINGOSINECERAMIDE 1CERAMIDE 2CERAMIDE 3CERAMIDE 4CERAMIDE 5CERAMIDE 1 ACERAMIDE 6 II,
479,Ceramide 1 A,,,397.63488,,C24H47NO3,,CAPROYL SPHINGOSINECERAMIDE 1CERAMIDE 2CERAMIDE 3CERAMIDE 4CERAMIDE 5CERAMIDE 1 ACERAMIDE 6 II,
480,Ceramide 4,,,397.63488,,C24H47NO3,,CAPROYL SPHINGOSINECERAMIDE 1CERAMIDE 2CERAMIDE 3CERAMIDE 4CERAMIDE 5CERAMIDE 1 ACERAMIDE 6 II,
481,Ceramide 5,,,397.63488,,C24H47NO3,,CAPROYL SPHINGOSINECERAMIDE 1CERAMIDE 2CERAMIDE 3CERAMIDE 4CERAMIDE 5CERAMIDE 1 ACERAMIDE 6 II,
482,Ceramide 6 Ii,,,397.63488,,C24H47NO3,,CAPROYL SPHINGOSINECERAMIDE 1CERAMIDE 2CERAMIDE 3CERAMIDE 4CERAMIDE 5CERAMIDE 1 ACERAMIDE 6 II,
483,Ceramide 3,,,397.63488,,C24H47NO3,,CAPROYL SPHINGOSINECERAMIDE 1CERAMIDE 2CERAMIDE 3CERAMIDE 4CERAMIDE 5CERAMIDE 1 ACERAMIDE 6 II,
484,Cerotic Acid,,,,,,,,
485,Cetalkonium Chloride,,MODERATELY SOLUBLE,396.09,,C25H46ClN,,"Benzyldimethylhexadecylammonium chlorideBenzyldimethylhexadecylammonium chloride, hydrate,Benzyl hexadecyl dimethyl ammonium chlorideBenzyl n-hexadecyl dimethylammonium chlorideC16-alkylbenzyldimethylammonium chlorideCetalkonium chlorideCetolHexadecyl dimethyl benzyl ammonium chlorideN-Hexadecyl-N,N-dimethylbenzenemethanaminium chloride,HDBACBenzyl Dimethyl Hexadecyl Ammonium ChlorideCetyldimethylbenzylammonium chlorideBenzylcetyldimethylammoniumBenzyldimethylhexadecyl ammoniumUNII-FHG725432ZCetalkoniumBonjelaBenzenemethanaminium, N-hexadecyl-N,N-dimethyl-,N-benzyl-N,N-dimethylhexadecan-1-aminium chloride,",
486,Cetearyl Alcohol,,,494.919,0.842g/cm3,C34H70O,,Ceto-stearyl alcoholCetearyl alcoholCETYL-STEARYL ALCOHOLC1618heptadecan-1-oltetratriacontan-17-ol,
487,Cetearyl Isononanoate,,,,,,,,
488,Cetearyl Stearate,,,,,,,,
489,Ceteth-2,,,,,,,,
490,Ceteth-3,,,,,,,,
491,Ceteth-8 Phosphate,,,,,,,,
492,Cetethyl Morpholinium Ethosulfate,,,,,,,,
493,Cetethyldimonium Bromide,,200 g/L (20???),378.47,,C20H44BrN,,"Cetethyldimonium bromide1-Hexadecanaminium, N-ethyl-N,N-dimethyl-, bromide,Cetyl dimethyl ethyl ammonium bromideCetyldimethylethylammonium bromideN-Ethyl-N,N-dimethyl-1-hexadecanaminium bromide,Quaternium-17AI3-12210Ammonyx DMEBretolCaswell No. 165ECetylcideCetylethyldimethylammonium bromideDimethylethylhexadecylammonium bromideEPA Pesticide Chemical Code 069156Ethyl cetabEthyl hexadecyl dimethyl ammonium bromideEthylhexadecyldimethylammonium bromideHexadecyldimethylethylammonium bromideHexadecylethyldimethylammonium bromideNSC 8494Quaternium 17Radiol germicidal solutionAmmonium, ethylhexadecyldimethyl-, bromide,Alkenyl dimethyl ethyl ammonium bromideN-ethyl-N,N-dimethylhexadecan-1-aminium bromide,",
494,Cetrimonium Bromide,,,,,,,,
495,Cetrimonium Chloride,,Soluble,320,,C19H42ClN,,"N-Hexadecyl trimethyl ammonium ChlorideCetrimonium ChlorideHexadecyl Trimethyl Ammonium ChlorideHTACCetyl trimethyl ammonium ChlorideCTACN-ethyl-N,N-dimethylhexadecan-1-aminium chloride,CETYL TRIMITHYL AMMONIUM CHLORIDEN-Hexadecy trimethyl ammonium Chloride1631Cetyltrimethylammonium Chloride(CTMAC, CTAC),",
496,Cetrimonium Methosulfate,,,,,,,,
497,Cetrimonium Saccharinate,,,,,,,,
498,Cetrimonium Tosylate,,,,,,,,
499,Cetyl Acetate,,,284.48,0.8672 (estimate),C18H36O2,,"CETYL ACETATEHEXADECYL ACETATE1-Acetoxyhexadecane1-Hexadecanol,acetate,1-HEXADECYL ACETATEPALMITYL ACETATEAcelan APalmityl AcetatePalmityl Acetate",
500,Cetyl Acetyl Ricinoleate,,,,,,,,
501,Cetyl Alcohol,,insoluble,242.44,0.818,C16H34O,,"Alcohol, C16,Atalco CCachalot C-50CetaffineCetalCetyl AlcoholCetanolHexadecyl alcoholCetylolCO-1670Crodacol-casDYTOL F-11EthalEtholHexadecan-1-olPalmityl alcoholLorolL 24Loxanol KProduct 308Hexadecanol",
502,Cetyl Betaine,,,,,,,,
503,Cetyl Ethylhexanoate,,,,,,,,
504,Cetyl Glyceryl Ether,,,,,,,,
505,Cetyl Glycol Isostearate,,,,,,,,
506,Cetyl Isononanoate,,,,,,,,
507,Cetyl Lactate,,,314.5,1.0196 (rough estimate),C19H38O3,,"2-hydroxy-propanoicacihexadecylester2-Hydroxypropionic acid hexadecyl esterCeraphyl 28D,L-Lacticacidhexadecylester,Lactic acid cetyl esterLiponate CLPropanoic acid, 2-hydroxy-, hexadecyl ester,Propanoicacid,2-hydroxy-,hexadecylester,",
508,Cetyl Laurate,,,,,,,,
509,Cetyl Myristate,,,,,,,,
510,Cetyl Oleate,,,,,,,,
511,Cetyl Palmitate,,,480.85,d20 0.989,C32H64O2,,SPERMACETIPALMATIC ACID N-HEXADECYL ESTERCetyl Palmitate (50 mg)SperMwaxCetyl Palmitate Palmitic Acid Hexadecyl EsterCETYL PALMITATE,
512,Cetyl Pca,,,,,,,,
513,Cetyl Phosphate,,,,,,,,
514,Cetyl Ricinoleate,,,,,,,,
515,Cetyl Ricinoleate Benzoate,,,,,,,,
516,Cetyl Stearate,,,,,,,,
517,Cetylamine Hydrofluoride,,,,,,,,
518,Cetylarachidol,,,,,,,,
519,Cetylpyridinium Chloride,,,340,,C21H38ClN,,"Cetylpyridinium ChlorideChondroitin hydrochloride1-CETYLPYRIDINIUM CHLORIDE1-Hexadecylpyridinium chlorideC16-alkylpyridinium chlorideCeeprynCepacolCetamiumDobendanMedilaveMerocetPristacinPyriseptHexadecyl pyridinium chlorideCetyl pyridinium chloridepyridinium, 1-hexadecyl-, dichloride,",
520,Chalk,,Insoluble,100.09,,CaCO3,,C.I. 77220C.I. Pigment White 18ChalkWeightily Calcium CarbonateCalcium Carbonate LightCalcium Carbonate HeavyBiological Calcium CarbonateOyster Shell PowderLimestone,
521,Chamazulene,,,,,,,,
522,Chimyl Alcohol,,,,,,,,
523,Chimyl Isostearate,,,,,,,,
524,Chimyl Stearate,,,,,,,,
525,Chitosan,,,,1.75g/cm3,(C6H11NO4)n,,"beta-(1,4)-2-Amino-2-deoxy-D-glucose,beta-1,4-Poly-D-glucosamine,Deacetylated chitinPoliglusamPoly-D-glucosamine2-amino-2-deoxy-beta-D-glucopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->4)-2-deoxy-2-[(methoxycarbonyl)amino]-beta-D-glucopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranose",
526,Chloramine-T,,,227.64,,C7H7ClNNaO2S,,"Chloramine-TN-Chloro-4-toluenesulfonamide sodium saltCholramine-TChloramine TN-chloro-4-methylbenzenesulfonamidesodium chloro[(4-methylphenyl)sulfonyl]azanidebenzenesulfonamide, N-chloro-4-methyl-, sodium salt,",
527,Chlorhexidine,,0.08 g/100 mL (20???),505.45,,C22H30Cl2N10,,"Chlorhexidine Base5,5-bis(4-chlorophenyl)-1,1-hexamethylenedibiguanide,Chlorohexidine baseChlor hexidinechlorocyclohexatriene",
528,Chlorhexidine Diacetate,,1.9 g/100 mL (20???),625.55,,C22H30Cl2N10?? 2C2H4O2,,"Chlorhexidine di(acetate)1,6-Bis(N5-[p-chlorophenyl]-N1-biguanido)hexane,Hibitane diacetateChlorhexidine di acetateChlorhexidine diacetate",
529,Chlorhexidine Digluconate,,,897.76,,C34H54Cl2N10O14,,Chlorhexidine digluconate,
530,Chlorhexidine Dihydrochloride,,0.06 g/100 mL (20???),578.37,,C22H30Cl2N10??2HCl,,Chlorhexidine Hydrochloride,
531,4-Chloro-2-Aminophenol,,Insoluble. <0.1 g/100 mL at 20???,143.57,,C6H6ClNO,,C.I. 76525C.I. Oxidation Base 182-Amino-4-chlorophenolp-Chloro-o-Aminophenolaminochlorophenolo-Amino-p-chlorophenol4-chloro-2-Aminophenol,
532,Chloroacetamide,,,93.51,1.268g/cm3,C2H4ClNO,,"Chloracetamidechloroacetamide2-chloroacetamidacetamide,2-chloro-,chloracetamidchloracetamid(??-form,stabileform),chloroacetylaminemergal afmergalafmicrocidealpha-chloroacetamidealpha-chloracetamide2-chloroethanamide2-chloro acetamide",
533,Chlorobutanol,,,177.46,1.404g/cm3,C4H7OCl3,,"2-Trichloromethyl-2-propanolChlorbutol2-Trichhloromethyl-2-propanol2-Methyl-1,1,1-trichloro-2-propanol,Acetone chloroformChloretone1-Methyl-1-(trichloromethyl)ethanol1,1,1-Trichloro-2-methyl-2-propanol,1,1,1-trichloro-2-methylpropan-2-ol,Trichloro-tert-buty alcohol",
534,2-Chloro-6-Ethylamino-4-Nitrophenol,,,216.6217,,C8H9ClN2O3,,,
535,2-Chloro-5-Nitro-N-Hydroxyethyl P-Phenylenediamine,,,,,,,,
536,Chlorophene,,<0.1 g/100 mL at 16???,218.68,,C13H11ClO,,Nipacide BCPCloropheneChlorofeneChloropheneo-Benzyl-p-Chlorophenol4-Chloro-2-(phenylmethyl)phenol5-Chloro-2-Hydroxydiphenylmethane2-Benzyl-4-Chlorophenol2-Benzyl-4-Chlorphenol2-Benzyl-P-Chlorophenolbenzyl-p-chlorophenolBenzyl(2-)-4-Chlorophenol2-benzyl-3-chlorophenolOBCOClorofene,
537,2-Chloro-P-Phenylenediamine,,,142.59,,C6H7ClN2,,"C.I. 760652-Chloro-p-phenylenediamineo-Chloro-p-Phenylenediamine2-Chloro-1,4-Benzenediamine,2-CHLORO P.P.D2-Chloro-1,4-diaminobenzene,",
538,2-Chloro-P-Phenylenediamine Sulfate,,<0.1 g/100 mL at 21???,240.66,1.42g/cm3,C6H9ClN2O4S,,"ChloropphenylenediaminesulfateO-Chlono-p-phenylene diamine sulfate2-chloro-1,4-benzenediamine sulfate,C.I. 76066C.I. Oxidation Base 13A2-Chloro-1,4-benzenediamine sulfate,2-Chloro-p-phenylenediamine sulfateS-(5-methyl-1,3,4-thiadiazol-2-yl) 9H-carbazol-9-ylethanethioate,2-chloro-1,4-phenylenediamine sulfate,O-CHLORO-P-PHENYLENE DIAMINE SULFATE2-Chlorobenzene-1,4-Diammonium Sulphate,",
539,4-Chlororesorcinol,,soluble,144.56,,C6H5ClO2,,"C.I. 765101,3-Benzenediol, 4-chloro-,1-Chloro-2,4-dihydroxybenzene,4-Chloro Resorcinol",
540,Chlorothymol,,,184.66,1.111g/cm3,C10H13ClO,,"Chlorothymol [NF XII]4-Chloro-5-methyl-2-(1-methylethyl)phenol6-ChlorothymolChlorothymolPhenol, 4-chloro-5-methyl-2-(1-methylethyl)-,4-06-00-03344 (Beilstein Handbook Reference)4-Chlor-2-isopropyl-5-methylphenol4-Chloro-6-isopropyl-3-methylphenol4-ChlorothymolAI3-00120BRN 2084453Caswell No. 216ChlorthymolEPA Pesticide Chemical Code 080403NSC 406261UNII-LJ25TI0CVTThymol, 6-chloro-,4-chloro-5-methyl-2-(propan-2-yl)phenol",
541,Chloroxylenol,,,162.65,,C8H3D6ClO,,,
542,Chlorphenesin,,,202.64,1.317g/cm3,C9H11ClO3,,"Chlorphenesin3-(4-chlorophenoxy)propane-1,2-diol,(2R)-3-(4-chlorophenoxy)propane-1,2-diol,(2S)-3-(4-chlorophenoxy)propane-1,2-diol,",
543,Cholesterol,,negligible,386.66,0.98g/cm3,C27H46O,,"5-Cholesten-3beta-olcholesterol from lanolincholesterol from hog liverCholesterol, NF,(3beta)-cholest-5-en-3-ol(3.beta.)-Cholest-5-en-3-ol(3??)-cholest-5-en-3-ol3??-hydroxycholest-5-ene5,6-Cholesten-3beta-ol,5-Cholesten-3B-ol5-cholesten-3??-olCholest-5-en-3beta-ol3beta-hydroxycholest-5-ene3beta-hydroxy-5-cholestene",
544,Cholesteryl Acetate,,insoluble,428.69,0.99g/cm3,C29H48O2,,"cholest-5-en-3-yl acetateChloesteryl acetateAcetic acid cholesteryl esterCholesterol Acetate[(3S,9S,14S,17R)-17-(1,5-dimethylhexyl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate,(3beta)-cholest-5-en-3-yl acetate[(3S,10R,13R,17R)-17-(1,5-dimethylhexyl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate,",
545,Cholesteryl Acetate,,insoluble,428.69,0.99g/cm3,C29H48O2,,"cholest-5-en-3-yl acetateChloesteryl acetateAcetic acid cholesteryl esterCholesterol Acetate[(3S,9S,14S,17R)-17-(1,5-dimethylhexyl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate,(3beta)-cholest-5-en-3-yl acetate[(3S,10R,13R,17R)-17-(1,5-dimethylhexyl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate,",
546,Cholesteryl Acetate,,insoluble,428.69,0.99g/cm3,C29H48O2,,"cholest-5-en-3-yl acetateChloesteryl acetateAcetic acid cholesteryl esterCholesterol Acetate[(3S,9S,14S,17R)-17-(1,5-dimethylhexyl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate,(3beta)-cholest-5-en-3-yl acetate[(3S,10R,13R,17R)-17-(1,5-dimethylhexyl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate,",
547,Cholesteryl Acetate,,insoluble,428.69,0.99g/cm3,C29H48O2,,"cholest-5-en-3-yl acetateChloesteryl acetateAcetic acid cholesteryl esterCholesterol Acetate[(3S,9S,14S,17R)-17-(1,5-dimethylhexyl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate,(3beta)-cholest-5-en-3-yl acetate[(3S,10R,13R,17R)-17-(1,5-dimethylhexyl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate,",
548,Cholesteryl Acetate,,insoluble,428.69,0.99g/cm3,C29H48O2,,"cholest-5-en-3-yl acetateChloesteryl acetateAcetic acid cholesteryl esterCholesterol Acetate[(3S,9S,14S,17R)-17-(1,5-dimethylhexyl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate,(3beta)-cholest-5-en-3-yl acetate[(3S,10R,13R,17R)-17-(1,5-dimethylhexyl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate,",
